decile,n_customers,successful,conversion_rate,lift_vs_base,cum_successful,cum_pct_of_successful
1,824,441,0.5351941747572816,4.751001736692333,441,0.47521551724137934
2,824,181,0.2196601941747573,1.9499576288918647,622,0.6702586206896551
3,824,62,0.07524271844660194,0.6679412872447271,684,0.7370689655172413
4,823,52,0.06318347509113001,0.5608895127163028,736,0.7931034482758621
5,824,48,0.05825242718446602,0.5171158352862404,784,0.8448275862068966
6,824,38,0.04611650485436893,0.40938336960160693,822,0.8857758620689655
7,823,28,0.03402187120291616,0.30201742992416303,850,0.915948275862069
8,824,29,0.03519417475728155,0.31242415048543687,879,0.947198275862069
9,824,21,0.025485436893203883,0.22623817793773016,900,0.9698275862068966
10,824,28,0.03398058252427184,0.3016509039169735,928,1.0
