cost_per_contact,value_per_conversion,threshold,expected_value_eur,contacts,successful,wasted,missed
2.5,60,0.09422169721821526,33200.0,1648,622,1026,306
2.5,120,0.09422169721821526,70520.0,1648,622,1026,306
2.5,200,0.09422169721821526,120280.0,1648,622,1026,306
2.5,300,0.09422169721821526,182480.0,1648,622,1026,306
5.0,60,0.09422169721821526,29080.0,1648,622,1026,306
5.0,120,0.09422169721821526,66400.0,1648,622,1026,306
5.0,200,0.09422169721821526,116160.0,1648,622,1026,306
5.0,300,0.09422169721821526,178360.0,1648,622,1026,306
10.0,60,0.09422169721821526,20840.0,1648,622,1026,306
10.0,120,0.09422169721821526,58160.0,1648,622,1026,306
10.0,200,0.09422169721821526,107920.0,1648,622,1026,306
10.0,300,0.09422169721821526,170120.0,1648,622,1026,306
20.0,60,0.09422169721821526,4360.0,1648,622,1026,306
20.0,120,0.09422169721821526,41680.0,1648,622,1026,306
20.0,200,0.09422169721821526,91440.0,1648,622,1026,306
20.0,300,0.09422169721821526,153640.0,1648,622,1026,306
